"strong","sense_label","gloss","note","row_type"
"G0253","I","without pain","frequently in Trag. (not of age, : superlative adverb ἀλύπως, ζῆν, διατελεῖν live : superlative ἀλυπότατα","lookup"
"G0253","I","without pains","frequently in Trag. (not of age, : superlative adverb ἀλύπως, ζῆν, διατελεῖν live : superlative ἀλυπότατα","lookup"
"G0253","I","-ότατος","frequently in Trag. (not of age, : superlative adverb ἀλύπως, ζῆν, διατελεῖν live : superlative ἀλυπότατα","lookup"
"G0253","I","free from pain and sorrow","frequently in Trag. (not of age, : superlative adverb ἀλύπως, ζῆν, διατελεῖν live : superlative ἀλυπότατα","lookup"
"G0253","II","causing no pain","active , or ; ἄ. ἄνθος ἀνίας of sorrow of wine, ; ἀλυπότατος κλιντήρ, of a hospice, ; σωλῆνες -ότατοι μετὰ ἁλῶν i.e. adverb ἀλύπως, τοῖς ἄλλοις ζῆν live to others,","lookup"
"G0253","II","grief","active , or ; ἄ. ἄνθος ἀνίας of sorrow of wine, ; ἀλυπότατος κλιντήρ, of a hospice, ; σωλῆνες -ότατοι μετὰ ἁλῶν i.e. adverb ἀλύπως, τοῖς ἄλλοις ζῆν live to others,","lookup"
"G0253","II","harmless","active , or ; ἄ. ἄνθος ἀνίας of sorrow of wine, ; ἀλυπότατος κλιντήρ, of a hospice, ; σωλῆνες -ότατοι μετὰ ἁλῶν i.e. adverb ἀλύπως, τοῖς ἄλλοις ζῆν live to others,","lookup"
"G0253","II","setting free from the pain","active , or ; ἄ. ἄνθος ἀνίας of sorrow of wine, ; ἀλυπότατος κλιντήρ, of a hospice, ; σωλῆνες -ότατοι μετὰ ἁλῶν i.e. adverb ἀλύπως, τοῖς ἄλλοις ζῆν live to others,","lookup"
"G0253","II","cause least pain","active , or ; ἄ. ἄνθος ἀνίας of sorrow of wine, ; ἀλυπότατος κλιντήρ, of a hospice, ; σωλῆνες -ότατοι μετὰ ἁλῶν i.e. adverb ἀλύπως, τοῖς ἄλλοις ζῆν live to others,","lookup"
"G0253","II","are least indigestible","active , or ; ἄ. ἄνθος ἀνίας of sorrow of wine, ; ἀλυπότατος κλιντήρ, of a hospice, ; σωλῆνες -ότατοι μετὰ ἁλῶν i.e. adverb ἀλύπως, τοῖς ἄλλοις ζῆν live to others,","lookup"
"G0253","II","without offence","active , or ; ἄ. ἄνθος ἀνίας of sorrow of wine, ; ἀλυπότατος κλιντήρ, of a hospice, ; σωλῆνες -ότατοι μετὰ ἁλῶν i.e. adverb ἀλύπως, τοῖς ἄλλοις ζῆν live to others,","lookup"
"G0253","III","herb terrible","ἄλυπον, τό,","lookup"
"G0253","III","Globularia Alypum","ἄλυπον, τό,","lookup"
"G0275","headword","ἀμέριμν-ος",", ον,","headword"
"G0275","I","free from care","adverb -νως Vett. Val.355.6, : comparative -ότερον, ἔχειν","lookup"
"G0275","I","unconcerned","adverb -νως Vett. Val.355.6, : comparative -ότερον, ἔχειν","lookup"
"G0275","II","uncared for","passive ,","lookup"
"G0275","III","causing less care","οἰνοχοεῖ κρήνης ἐξ ἀμεριμνοτέρης, either i.e. of the fount of inspiration, or possibly","lookup"
"G0275","III","more easily attained","οἰνοχοεῖ κρήνης ἐξ ἀμεριμνοτέρης, either i.e. of the fount of inspiration, or possibly","lookup"
"G0275","III","less celebrated","οἰνοχοεῖ κρήνης ἐξ ἀμεριμνοτέρης, either i.e. of the fount of inspiration, or possibly","lookup"
"G0275","IV","","ἀμέριμνον, τό, ={ἀείζωον μέγα},","lookup"
"G3308","headword","μέριμν-α",", ἡ,","headword"
"G3308","I","care",", ὅν τε θαμιναὶ ἐπιστρωφῶσι μέριμναι ; μ. τινός .., : plural , , —Rare in early Prose, ; μ. καὶ φροντίς","lookup"
"G3308","I","thought",", ὅν τε θαμιναὶ ἐπιστρωφῶσι μέριμναι ; μ. τινός .., : plural , , —Rare in early Prose, ; μ. καὶ φροντίς","lookup"
"G3308","I","solicitude",", ὅν τε θαμιναὶ ἐπιστρωφῶσι μέριμναι ; μ. τινός .., : plural , , —Rare in early Prose, ; μ. καὶ φροντίς","lookup"
"G3308","I","care for",", ὅν τε θαμιναὶ ἐπιστρωφῶσι μέριμναι ; μ. τινός .., : plural , , —Rare in early Prose, ; μ. καὶ φροντίς","lookup"
"G3308","I","cares",", ὅν τε θαμιναὶ ἐπιστρωφῶσι μέριμναι ; μ. τινός .., : plural , , —Rare in early Prose, ; μ. καὶ φροντίς","lookup"
"G3308","I.2","object of care","concrete, or , μεγάλην σε πατὴρ ἐφύτευσε μ. θνητοῖς ἀνθρώποισι","lookup"
"G3308","I.2","thought","concrete, or , μεγάλην σε πατὴρ ἐφύτευσε μ. θνητοῖς ἀνθρώποισι","lookup"
"G3308","I.3","pursuit",", especially in plural ,","lookup"
"G3308","I.3","ambition",", especially in plural ,","lookup"
"G3308","I.4","fancy","Κηΐα μ. the Cean poet's ,","lookup"
"G3308","I.5","anxious mind",", . (Cf. Sanskrit smárati 'remember', Latin memor. )","lookup"
"G4329","headword","προσδοκ-ία",", ἡ,","headword"
"G4329","I","looking for",", whether in hope or fear, but more commonly fear,","lookup"
"G4329","I","expectation",", whether in hope or fear, but more commonly fear,","lookup"
"G4329","I.1","the fulfilment of the expectations raised","with genitive , μέλλοντος κακοῦ, δεινῶν, : in good sense, π. ἀγαθῶν ἐμβάλλειν ; τῆς ἀσφαλείας ἔχειν π. ; τὰς τῶν ἔργων προσδοκίας ἀπαιτεῖν τινα, i.e. ,","lookup"
"G4329","I.2","","absolutely , τῶν ὑποκειμένων π. καὶ τῶν ἐλπίδων ; αἱ ἔσχαται π.","lookup"
"G4329","I.3","","followed by a conjunction, προσδοκία οὐδεμία (i.e. ἦν) μὴ ἐπιπλεύσειαν","lookup"
"G4329","I.4","expectation","with Preps., πρὸς προσδοκίαν according to , ; κατὰ τὴν π. ; opposed to παρὰ προσδοκίαν, which is used of a kind of joke frequently in Comedy texts, e.g. ἔχειν ὑπὸ ποσσὶ—χίμεθλα (where πέδιλα was ),","lookup"
"G4329","I.4","expected","with Preps., πρὸς προσδοκίαν according to , ; κατὰ τὴν π. ; opposed to παρὰ προσδοκίαν, which is used of a kind of joke frequently in Comedy texts, e.g. ἔχειν ὑπὸ ποσσὶ—χίμεθλα (where πέδιλα was ),","lookup"
"G0776","headword","ἀσῑτ-ία",",","headword"
"G0776","I","want of food","Ionic dialect -ιη, ἡ,","lookup"
"G0776","II","abstinence from food","","lookup"
"G0776","II.2","want of appetite","","lookup"
"G2836","headword","κοιλί-α",",","headword"
"G2836","I","κοιλί-η","Ionic dialect , ἡ, (κοῖλος) , i.e. , , = , ἡ κάτω, = , accusative to ; τὰ κατὰ κ. νουσήματα diseases of the ,","lookup"
"G2836","I","cavity of the body","Ionic dialect , ἡ, (κοῖλος) , i.e. , , = , ἡ κάτω, = , accusative to ; τὰ κατὰ κ. νουσήματα diseases of the ,","lookup"
"G2836","I","thorax with abdomen","Ionic dialect , ἡ, (κοῖλος) , i.e. , , = , ἡ κάτω, = , accusative to ; τὰ κατὰ κ. νουσήματα diseases of the ,","lookup"
"G2836","I","thorax","Ionic dialect , ἡ, (κοῖλος) , i.e. , , = , ἡ κάτω, = , accusative to ; τὰ κατὰ κ. νουσήματα diseases of the ,","lookup"
"G2836","I","abdomen","Ionic dialect , ἡ, (κοῖλος) , i.e. , , = , ἡ κάτω, = , accusative to ; τὰ κατὰ κ. νουσήματα diseases of the ,","lookup"
"G2836","I","thoracic cavity","Ionic dialect , ἡ, (κοῖλος) , i.e. , , = , ἡ κάτω, = , accusative to ; τὰ κατὰ κ. νουσήματα diseases of the ,","lookup"
"G2836","I.2","belly",", ; opposed to ἡ ἄνω κ., , [same place]; κ. alone frequently = , ; of birds, ; also, or of animals,","lookup"
"G2836","I.2","abdomen",", ; opposed to ἡ ἄνω κ., , [same place]; κ. alone frequently = , ; of birds, ; also, or of animals,","lookup"
"G2836","I.2","stomach",", ; opposed to ἡ ἄνω κ., , [same place]; κ. alone frequently = , ; of birds, ; also, or of animals,","lookup"
"G2836","I.2","paunch",", ; opposed to ἡ ἄνω κ., , [same place]; κ. alone frequently = , ; of birds, ; also, or of animals,","lookup"
"G2836","I.2","rumen",", ; opposed to ἡ ἄνω κ., , [same place]; κ. alone frequently = , ; of birds, ; also, or of animals,","lookup"
"G2836","I.3","intestines",", κ. κείνη , etc.; of animals, κ. ὑεία pig's , : plural , ,","lookup"
"G2836","I.3","tripe",", κ. κείνη , etc.; of animals, κ. ὑεία pig's , : plural , ,","lookup"
"G2836","I.3","tripe and puddings",", κ. κείνη , etc.; of animals, κ. ὑεία pig's , : plural , ,","lookup"
"G2836","3.b","bowels","phrases, κ. σκληρὰν ἔχειν to be costive, ; τὴν κ. λύειν to relax the , ; αἱ κ. λύονται, ἀναλύονται,; εὔλυτοί [εἰσι] ; [οἶνος] κοιλίας μαλακτικός, κοιλίας ἐφεκτικά, Mnesith. cited in ; κ. ἐκλύειν, ὑπάγειν, μαλάσσειν,","lookup"
"G2836","I.4","excrement",", especiallyin plural , κ. συνεστηκυῖαι of firm consistency,","lookup"
"G2836","I.4","excrements",", especiallyin plural , κ. συνεστηκυῖαι of firm consistency,","lookup"
"G2836","II","cavity","any in the body, , as in the , κ. αἱ τὸ πνεῦμα δεχόμεναι καὶ προπέμπουσαι","lookup"
"G2836","II","ventricle","any in the body, , as in the , κ. αἱ τὸ πνεῦμα δεχόμεναι καὶ προπέμπουσαι","lookup"
