registry_word,strongNumber,language,stepTransliteration,stepGloss,cluster_code,cluster_name
Suffering,H6094,Hebrew,ats.tse.vet,injury,T2,Supplementary
Suffering,H6869B,Hebrew,tsa.rah,distress,M03,Grief
Suffering,H7185,Hebrew,qa.shah,to harden,FLAG,Flag
Suffering,H7185,Hebrew,qa.shah,to harden,T2,Supplementary
abomination,G0111,Greek,athemitos,unlawful,,
abomination,G0655,Greek,apostugeō,to abhor,,
abomination,G0946,Greek,bdelugma,abomination,M10,Sin
abomination,G0947,Greek,bdeluktos,abominable,M10,Sin
abomination,G0948,Greek,bdelussomai,to abhor,M06,Hate
abomination,G6662,Greek,bdelugmos,abomination,,
abomination,G8238,Greek,makrumma,abomination,,
abomination,H0887,Hebrew,ba.ash,to stink,M06,Hate
abomination,H2194,Hebrew,za.am,be indignant,M02,Anger
abomination,H2214,Hebrew,za.ra,loathsome,,
abomination,H4656,Hebrew,miph.le.tset,horror,,
abomination,H6292,Hebrew,pig.gul,refuse,M27,Evil
abomination,H8251,Hebrew,shiq.quts,abomination,M10,Sin
abomination,H8262,Hebrew,shiq.qets,to detest,M27,Evil
abomination,H8263,Hebrew,she.qets,detestation,M06,Hate
abomination,H8441,Hebrew,to.e.vah,abomination,M10,Sin
abomination,H8581,Hebrew,ta.av,to abhor,M06,Hate
agony,G0074,Greek,agōnia,a struggle,M34,Perseverance
agony,G0928H,Greek,basanizō,to torture: anguish,M03,Grief
agony,G3600,Greek,odunaō,be anguished,M03,Grief
agony,G5604,Greek,ōdin,labor,M24,Weakness
agony,H1518,Hebrew,gi.ach,to burst/come out,T2,Supplementary
agony,H2256B,Hebrew,che.vel,pain,M03,Grief
agony,H2342I,Hebrew,chul,to twist: writh in pain,M03,Grief
agony,H2427A,Hebrew,chil,agony,M03,Grief
agony,H2427B,Hebrew,chi.lah,agony,,
agony,H7661,Hebrew,sha.vats,agony,M01,Fear
agony,H8463,Hebrew,ta.cha.lu.im,disease,M24,Weakness
ambition,G2052,Greek,eritheia,rivalry,M28,Envy
ambition,G5389,Greek,filotimeomai,to aspire,M18,Hope
anger,G2042,Greek,erethizō,to provoke/irritate,M02,Anger
anger,G2372,Greek,thumos,wrath,,
anger,G2373,Greek,thumoō,to anger,M02,Anger
anger,G2373,Greek,thumoō,to anger,T2,Supplementary
anger,G3709,Greek,orgē,wrath,M02,Anger
anger,G3710,Greek,orgizō,to anger,M02,Anger
anger,G3947,Greek,paroxunō,to provoke,M02,Anger
anger,G3949,Greek,parorgizō,to anger,M02,Anger
anger,G3950,Greek,parorgismos,anger,M02,Anger
anger,G4292,Greek,prokaleō,to provoke,,
anger,G7026,Greek,enkotēma,an object of anger,,
anger,G8318,Greek,mēnis,vehement anger,,
anger,H0639G,Hebrew,aph,face: anger,T2,Supplementary
anger,H0639H,Hebrew,aph,face: nose,,
anger,H0639I,Hebrew,aph,face,,
anger,H0644,Hebrew,a.phah,to bake,T2,Supplementary
anger,H2195,Hebrew,za.am,indignation,M02,Anger
anger,H2198,Hebrew,za.eph,vexed,M02,Anger
anger,H2528,Hebrew,che.ma,rage,M02,Anger
anger,H2534,Hebrew,che.mah,rage,M02,Anger
anger,H2552,Hebrew,cha.mam,to warm,FLAG,Flag
anger,H2552,Hebrew,cha.mam,to warm,T2,Supplementary
anger,H2734,Hebrew,cha.rah,to be incensed,M02,Anger
anger,H2740,Hebrew,cha.ron,burning anger,M02,Anger
anger,H3707,Hebrew,ka.as,to provoke,M02,Anger
anger,H3708A,Hebrew,ka.as,vexation,,
anger,H3708B,Hebrew,ka.a.s,vexation,M02,Anger
anger,H5006,Hebrew,na.ats,to spurn,M06,Hate
anger,H5201,Hebrew,na.tar,to keep,M30,Obedience
anger,H5307K,Hebrew,na.phal,to fall: angry,M02,Anger
anger,H5674B,Hebrew,a.var,be angry,,
anger,H5678,Hebrew,ev.rah,fury,,
anger,H5860A,Hebrew,it,to scream,T2,Supplementary
anger,H6440M,Hebrew,pa.neh,face: angry,,
